Num Nodes,Num Models,Num Requests,Stress Level,Alpha,Mean Latency,Median Latency,Min Latency,Max Latency,Standard Deviation,Warm,Cold,Download,Evict,50th Percentile,90th Percentile,95th Percentile,99th Percentile
20,1000,100000,0.2,4.0,2.59,0.06,0.06,77.89,10.38,93978,6022,0,0,0.06,0.06,32.1,51.38
20,1000,100000,1.0,0.0,47.09,48.97,0.05,106.89,20.39,5732,94254,14,0,48.97,73.07,77.89,77.89
20,1000,100000,1.0,1.1,37.59,39.33,0.05,106.89,25.9,23943,76047,10,0,39.33,70.66,75.48,77.89
20,1000,100000,1.0,1.6,10.35,0.08,0.05,100.07,20.92,77863,22136,1,0,0.08,48.97,65.84,75.48
20,1000,100000,1.0,2.2,4.27,0.17,0.05,77.89,14.14,91197,8802,1,0,0.17,0.21,48.97,65.84
20,1000,100000,1.0,4.0,1.6,0.13,0.07,103.48,9.18,97297,2701,2,0,0.13,0.13,0.28,53.79
20,1000,100000,10.0,0.0,10720.19,10748.08,0.05,21238.22,6049.85,16182,57662,12867,13289,10748.08,19061.5,20144.47,20967.09
20,1000,100000,10.0,1.1,7286.9,7336.78,20.05,14261.46,4046.25,39406,41737,11508,7349,7336.78,12840.92,13533.91,14052.57
20,1000,100000,10.0,1.6,4.9,0.08,0.05,123.11,15.44,90279,9641,80,0,0.08,4.08,46.56,73.07
20,1000,100000,10.0,2.2,1.96,0.18,0.05,168.42,9.52,96982,2967,51,0,0.18,0.24,0.25,58.84
20,1000,100000,10.0,4.0,0.89,0.2,0.08,114.87,6.21,99144,831,25,0,0.2,0.2,0.29,36.81
20,10000,1000,0.2,0.0,49.61,48.97,0.07,77.89,18.12,4,996,0,0,48.97,73.07,77.89,77.89
20,10000,1000,0.2,1.1,44.63,46.56,0.08,77.89,21.48,88,912,0,0,46.56,73.07,75.48,77.89
20,10000,1000,0.2,1.6,20.59,0.25,0.05,77.89,28.09,614,386,0,0,0.25,68.25,75.48,77.89
20,10000,1000,0.2,2.2,7.88,0.08,0.06,77.89,16.44,795,205,0,0,0.08,36.92,44.15,65.84
20,10000,1000,0.2,4.0,3.25,0.18,0.08,75.48,11.58,925,75,0,0,0.18,0.18,27.28,51.38
20,10000,1000,1.0,0.0,48.67,48.97,0.08,89.84,17.68,5,994,1,0,48.97,73.07,75.48,77.89
20,10000,1000,1.0,1.1,39.44,41.74,0.07,77.89,24.5,195,805,0,0,41.74,73.07,75.48,77.89
20,10000,1000,1.0,1.6,14.23,0.25,0.05,93.25,24.41,714,281,5,0,0.25,65.84,68.25,75.5
20,10000,1000,1.0,2.2,5.36,0.11,0.07,75.48,15.95,889,111,0,0,0.11,24.87,41.86,73.07
20,10000,1000,1.0,4.0,3.44,0.12,0.12,75.48,12.96,932,67,1,0,0.12,0.28,36.92,75.48
20,10000,1000,10.0,0.0,144.25,144.7,20.05,311.26,80.8,6,404,590,0,144.7,258.31,274.92,295.0
20,10000,1000,10.0,1.1,114.93,109.0,0.06,273.14,61.45,213,363,424,0,109.0,199.39,228.04,258.58
20,10000,1000,10.0,1.6,54.45,53.79,20.05,173.75,21.95,613,295,92,0,53.79,72.79,94.12,139.19
20,10000,1000,10.0,2.2,15.39,0.09,0.05,106.89,21.29,614,367,19,0,0.09,48.97,51.5,73.07
20,10000,1000,10.0,4.0,64.75,68.81,25.31,140.97,20.97,782,186,32,0,68.81,91.75,96.06,103.48
20,10000,100000,0.2,0.0,49.1,48.97,0.05,77.89,17.51,124,99876,0,0,48.97,73.07,75.48,77.89
20,10000,100000,0.2,1.1,45.09,48.97,0.05,77.89,21.93,9212,90788,0,0,48.97,73.07,75.48,77.89
