Num Nodes,Num Models,Num Requests,Stress Level,Alpha,Mean Latency,Median Latency,Min Latency,Max Latency,Standard Deviation,Warm,Cold,Download,Evict,50th Percentile,90th Percentile,95th Percentile,99th Percentile
2,100000,1000,1.0,1.6,1.3,0.26,0.08,34.19,3.2,791,196,5,8,0.26,4.42,4.86,14.25
2,100000,1000,1.0,2.2,0.67,0.29,0.1,5.19,1.25,900,100,0,0,0.29,0.54,4.75,5.19
2,100000,1000,1.0,4.0,0.11,0.05,0.05,5.08,0.47,984,16,0,0,0.05,0.05,0.07,2.77
2,100000,1000,10.0,0.0,1165.6,1158.29,7.55,2360.56,684.79,1,6,261,732,1158.29,2109.4,2234.72,2333.99
2,100000,1000,10.0,1.1,909.35,892.22,2.55,1831.02,537.26,166,195,149,490,892.22,1654.93,1742.21,1813.11
2,100000,1000,10.0,1.6,363.15,370.39,0.06,678.2,192.45,782,136,19,63,370.39,629.18,655.42,664.55
2,100000,1000,10.0,2.2,238.68,230.32,1.14,515.84,127.99,887,90,4,19,230.32,424.32,450.07,473.49
2,100000,1000,10.0,4.0,0.2,0.09,0.05,4.53,0.59,962,38,0,0,0.09,0.09,0.09,2.99
2,100000,100000,0.2,0.0,20.74,20.87,0.19,47.46,8.19,9,1135,28125,70731,20.87,31.97,33.08,34.19
2,100000,100000,0.2,1.1,11.38,5.08,0.05,34.19,10.4,10779,42732,13329,33160,5.08,28.64,31.97,34.19
2,100000,100000,0.2,1.6,1.63,0.07,0.05,34.19,2.87,64298,34599,316,787,0.07,4.53,4.97,9.77
2,100000,100000,0.2,2.2,0.69,0.12,0.05,34.19,1.32,83025,16966,2,7,0.12,2.99,3.76,4.75
2,100000,100000,0.2,4.0,0.4,0.18,0.06,4.97,0.86,93311,6689,0,0,0.18,0.18,3.32,3.98
2,100000,100000,1.0,0.0,73060.5,73185.31,4.42,145666.73,42027.18,21,616,25074,74289,73185.31,131258.81,138400.7,144162.84
2,100000,100000,1.0,1.1,55240.91,55552.07,0.15,110031.9,31818.06,16580,21149,14997,47274,55552.07,99022.53,104531.99,108894.4
2,100000,100000,1.0,1.6,1.17,0.14,0.05,45.9,2.94,79497,19248,348,907,0.14,4.09,4.75,14.21
2,100000,100000,1.0,2.2,0.57,0.29,0.05,34.19,1.08,91978,8004,2,16,0.29,0.29,3.54,5.08
2,100000,100000,1.0,4.0,0.18,0.1,0.06,4.97,0.55,98119,1881,0,0,0.1,0.1,0.2,4.2
2,100000,100000,10.0,0.0,118048.91,118099.68,8.66,235983.55,68035.85,21,600,24855,74524,118099.68,212203.08,224019.76,233580.77
2,100000,100000,10.0,1.1,98688.37,98685.14,2.55,197338.94,56969.71,16974,21420,15075,46531,98685.14,177681.12,187520.46,195428.06
2,100000,100000,10.0,1.6,27947.85,27729.33,0.07,55926.52,16119.81,80740,11936,1735,5589,27729.33,50517.54,53184.43,55327.26
2,100000,100000,10.0,2.2,8702.86,8664.21,0.05,17702.78,5194.39,94805,4070,263,862,8664.21,15894.52,16695.49,17473.68
2,100000,100000,10.0,4.0,1.15,0.29,0.05,123.94,7.37,99555,440,1,4,0.29,0.29,0.29,45.09
20,1000,1000,0.2,0.0,3.84,3.87,0.07,5.19,0.9,15,985,0,0,3.87,4.97,5.08,5.19
20,1000,1000,0.2,1.1,3.57,3.76,0.05,5.19,1.39,101,899,0,0,3.76,5.08,5.19,5.19
20,1000,1000,0.2,1.6,1.32,0.07,0.05,5.19,1.78,658,342,0,0,0.07,4.2,4.86,5.08
20,1000,1000,0.2,2.2,0.8,0.07,0.07,5.19,1.54,819,181,0,0,0.07,4.09,4.31,4.86
20,1000,1000,0.2,4.0,0.37,0.13,0.13,4.86,0.89,932,68,0,0,0.13,0.13,3.43,3.98
20,1000,1000,1.0,0.0,3.66,3.76,0.05,5.19,1.12,53,947,0,0,3.76,4.97,5.08,5.19
20,1000,1000,1.0,1.1,2.98,3.54,0.05,5.19,1.78,255,745,0,0,3.54,4.86,5.08,5.19
20,1000,1000,1.0,1.6,1.0,0.18,0.05,5.19,1.61,785,215,0,0,0.18,4.09,4.53,5.19
20,1000,1000,1.0,2.2,0.47,0.17,0.06,5.19,1.04,918,82,0,0,0.17,0.26,3.65,4.86
20,1000,1000,1.0,4.0,0.4,0.28,0.23,5.19,0.73,973,27,0,0,0.28,0.28,0.28,5.08
20,1000,1000,10.0,0.0,29.12,22.81,0.05,91.66,25.8,218,401,381,0,22.81,69.33,79.23,88.3
20,1000,1000,10.0,1.1,6.12,3.21,0.05,37.92,9.0,448,376,176,0,3.21,22.46,28.64,34.99
20,1000,1000,10.0,1.6,0.99,0.28,0.05,33.08,2.59,845,148,7,0,0.28,3.88,4.86,5.08
20,1000,1000,10.0,2.2,0.51,0.13,0.09,33.08,1.56,919,79,2,0,0.13,0.28,3.43,5.08
20,1000,1000,10.0,4.0,0.25,0.13,0.07,16.43,0.78,968,31,1,0,0.13,0.13,0.13,3.43
20,1000,100000,0.2,0.0,3.85,3.87,0.05,5.19,0.88,1135,98865,0,0,3.87,4.97,5.08,5.19
20,1000,100000,0.2,1.1,3.53,3.87,0.05,5.19,1.39,11333,88667,0,0,3.87,4.86,5.08,5.19
20,1000,100000,0.2,1.6,1.57,0.26,0.05,5.19,1.86,63986,36014,0,0,0.26,4.86,5.08,5.19
20,1000,100000,0.2,2.2,0.8,0.17,0.05,5.19,1.44,82377,17623,0,0,0.17,3.65,4.75,5.08
20,1000,100000,0.2,4.0,0.46,0.23,0.07,4.97,0.86,92839,7161,0,0,0.23,0.23,2.77,4.53
20,1000,100000,1.0,0.0,3.63,3.65,0.05,5.19,1.16,5804,94196,0,0,3.65,4.97,5.08,5.19
20,1000,100000,1.0,1.1,2.95,3.43,0.05,5.19,1.75,25858,74142,0,0,3.43,4.97,5.08,5.19
20,1000,100000,1.0,1.6,1.01,0.29,0.05,5.19,1.52,79573,20427,0,0,0.29,3.98,4.64,5.19
20,1000,100000,1.0,2.2,0.53,0.28,0.05,5.19,0.97,92217,7783,0,0,0.28,0.28,3.54,4.97
20,1000,100000,1.0,4.0,0.16,0.1,0.06,5.08,0.42,98183,1817,0,0,0.1,0.1,0.12,3.1
20,1000,100000,10.0,0.0,3572.81,3612.48,0.05,6923.23,1948.66,28821,48506,12254,10419,3612.48,6230.85,6561.1,6821.23
20,1000,100000,10.0,1.1,1583.56,1626.36,0.05,2935.54,806.53,51045,31825,11036,6094,1626.36,2660.95,2785.96,2875.17
20,1000,100000,10.0,1.6,0.42,0.07,0.05,5.19,1.07,91511,8489,0,0,0.07,0.27,3.65,4.97
20,1000,100000,10.0,2.2,0.17,0.07,0.05,5.19,0.58,97681,2319,0,0,0.07,0.14,0.21,3.98
20,1000,100000,10.0,4.0,0.2,0.18,0.1,21.98,0.28,99536,462,2,0,0.18,0.18,0.26,0.26
20,10000,1000,0.2,0.0,3.85,3.87,0.19,5.19,0.81,2,998,0,0,3.87,4.97,5.08,5.19
20,10000,1000,0.2,1.1,3.41,3.65,0.06,5.19,1.35,108,892,0,0,3.65,4.86,4.97,5.19
20,10000,1000,0.2,1.6,1.61,0.21,0.07,5.19,1.98,649,351,0,0,0.21,4.64,4.97,5.19
