HashOwner,Total Invocation,15min_Alls_g,Ratio
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,48,48,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,48,48,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,213,80,0.3755868544600939
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,2,2,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,318,318,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,3,3,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,581,135,0.23235800344234078
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,291,75,0.25773195876288657
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,21489,2020,0.094001582204849
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,69,48,0.6956521739130435
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,69,48,0.6956521739130435
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,68,48,0.7058823529411765
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,1,1,1.0
e68b93c0dd076690e42a86f02600211bcd9af8f23cefee404eee988c5c6fb1e6,5,2,0.4
4a05bf46fdefbaf40243384d62a6f2540322d2c27c35e7d8a2a76b810911ffc1,1440,164,0.11388888888888889
8122fe544664196daa40ce2117b39cf2dc32a6bff5850b5b292467a830724534,2,2,1.0
8122fe544664196daa40ce2117b39cf2dc32a6bff5850b5b292467a830724534,1,1,1.0
8122fe544664196daa40ce2117b39cf2dc32a6bff5850b5b292467a830724534,2,2,1.0
8122fe544664196daa40ce2117b39cf2dc32a6bff5850b5b292467a830724534,2,2,1.0
8122fe544664196daa40ce2117b39cf2dc32a6bff5850b5b292467a830724534,1,1,1.0
5596eedd3f0b060800549d4c63f7e6cc9c009f10e4a99b50aaae7367c195fdcc,288,72,0.25
5596eedd3f0b060800549d4c63f7e6cc9c009f10e4a99b50aaae7367c195fdcc,288,72,0.25
5596eedd3f0b060800549d4c63f7e6cc9c009f10e4a99b50aaae7367c195fdcc,288,72,0.25
ff05afdb4d698314a1c1c72e7684c8a73b51fc0345082679bf6f5298f1736bf6,1,1,1.0
92b7cf7aee1ab74fe49408d2883af4af7a2508634318d4493fd9dc72bfff2845,288,72,0.25
0962754de6bb039a08b6dd8c83b7f54b844f48670234b063615723089336193a,308,271,0.8798701298701299
0962754de6bb039a08b6dd8c83b7f54b844f48670234b063615723089336193a,288,72,0.25
07969f2b146f6bf72f9502d983775d82361753c40cb7aa715b5134ac53a17bbd,1440,90,0.0625
07969f2b146f6bf72f9502d983775d82361753c40cb7aa715b5134ac53a17bbd,1440,90,0.0625
07969f2b146f6bf72f9502d983775d82361753c40cb7aa715b5134ac53a17bbd,1,1,1.0
07969f2b146f6bf72f9502d983775d82361753c40cb7aa715b5134ac53a17bbd,1,1,1.0
07969f2b146f6bf72f9502d983775d82361753c40cb7aa715b5134ac53a17bbd,1440,150,0.10416666666666667
07969f2b146f6bf72f9502d983775d82361753c40cb7aa715b5134ac53a17bbd,1440,90,0.0625
07969f2b146f6bf72f9502d983775d82361753c40cb7aa715b5134ac53a17bbd,96,48,0.5
41975893de21ea84f8ab7abbea9c23d150bcae710a66a2b77e1b2e05a4c1c0f9,288,72,0.25
41975893de21ea84f8ab7abbea9c23d150bcae710a66a2b77e1b2e05a4c1c0f9,288,72,0.25
41975893de21ea84f8ab7abbea9c23d150bcae710a66a2b77e1b2e05a4c1c0f9,288,72,0.25
41975893de21ea84f8ab7abbea9c23d150bcae710a66a2b77e1b2e05a4c1c0f9,1,1,1.0
41975893de21ea84f8ab7abbea9c23d150bcae710a66a2b77e1b2e05a4c1c0f9,288,72,0.25
41975893de21ea84f8ab7abbea9c23d150bcae710a66a2b77e1b2e05a4c1c0f9,288,72,0.25
4c3f4c1a29a16cdb3a2149793b22aaec6834027d4bdba576c08d8d5791486d37,1,1,1.0
4c3f4c1a29a16cdb3a2149793b22aaec6834027d4bdba576c08d8d5791486d37,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,73,0.2534722222222222
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,157,0.10902777777777778
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,287,74,0.2578397212543554
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,161,0.11180555555555556
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,72,0.25
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,159,0.11041666666666666
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,74,0.2569444444444444
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,160,0.1111111111111111
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,75,0.2604166666666667
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,160,0.1111111111111111
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,290,76,0.2620689655172414
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1451,161,0.11095796002756719
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,73,0.2534722222222222
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,158,0.10972222222222222
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,287,73,0.25435540069686413
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1435,156,0.10871080139372823
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,75,0.2604166666666667
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1441,157,0.10895211658570438
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,287,75,0.2613240418118467
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1436,161,0.11211699164345404
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,73,0.2534722222222222
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1439,155,0.10771369006254343
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,75,0.2604166666666667
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1441,161,0.11172796668979876
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,74,0.2569444444444444
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,159,0.11041666666666666
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,73,0.2534722222222222
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1439,160,0.11118832522585129
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,75,0.2604166666666667
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,2,2,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,162,0.1125
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,74,0.2569444444444444
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,159,0.11041666666666666
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,73,0.2534722222222222
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,146,0.10138888888888889
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,75,0.2604166666666667
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
