Timestamp,StatusCode,E2ELatency
211,200,1.627
211,200,1.529
211,200,1.614
211,200,1.529
211,200,1.571
211,200,1.526
211,200,1.535
211,200,1.575
211,200,1.522
211,200,1.679
211,200,1.575
212,200,1.858
212,200,1.852
212,200,1.973
212,200,1.554
212,200,1.65
212,200,1.695
212,200,1.663
212,200,1.998
212,200,1.605
212,200,2.399
212,200,1.567
212,200,1.537
212,200,1.566
212,200,1.673
212,200,1.53
212,200,1.6
212,200,1.59
213,200,1.526
213,200,1.592
213,200,1.54
213,200,1.52
213,200,1.471
213,200,1.486
213,200,1.517
213,200,1.547
213,200,1.566
213,200,1.642
213,200,1.503
213,200,1.586
213,200,1.536
213,200,1.587
213,200,1.502
213,200,1.544
213,200,1.589
213,200,1.542
213,200,1.553
213,200,1.586
213,200,1.52
213,200,1.531
214,200,1.569
214,200,1.572
214,200,1.575
214,200,1.56
214,200,1.613
214,200,1.587
214,200,1.528
214,200,1.535
214,200,1.62
214,200,1.6
214,200,1.611
215,200,2.335
215,200,1.476
215,200,1.497
215,200,1.503
215,200,1.84
215,200,2.323
215,200,1.783
215,200,1.623
215,200,1.552
215,200,1.679
215,200,1.763
215,200,1.561
218,200,2.745
218,200,1.626
219,200,1.622
221,200,3.412
223,200,2.764
223,200,1.665
223,200,1.765
223,200,1.52
223,200,1.59
223,200,1.774
224,200,1.652
224,200,1.534
224,200,1.913
224,200,1.513
224,200,1.638
225,200,1.605
225,200,1.568
225,200,1.596
225,200,1.767
225,200,1.538
225,200,1.527
225,200,1.674
225,200,1.632
226,200,1.593
226,200,1.535
226,200,1.613
226,200,1.668
226,200,1.757
226,200,1.795
227,200,2.496
227,200,1.586
227,200,1.568
227,200,1.861
227,200,1.542
227,200,1.809
229,200,2.593
229,200,1.564
229,200,1.533
229,200,1.632
229,200,1.682
229,200,1.643
229,200,1.607
229,200,1.665
229,200,1.702
230,200,1.638
230,200,1.674
230,200,1.711
230,200,1.561
230,200,1.596
230,200,2.055
230,200,2.167
230,200,1.645
230,200,1.797
230,200,1.533
230,200,1.66
230,200,1.58
230,200,1.655
230,200,1.616
231,200,1.584
231,200,1.55
231,200,1.592
231,200,1.564
231,200,1.549
231,200,1.592
231,200,1.523
231,200,1.576
231,200,1.59
232,200,1.864
232,200,2.067
232,200,1.793
232,200,1.544
232,200,1.581
232,200,1.739
232,200,1.813
232,200,1.947
232,200,1.612
232,200,1.566
232,200,1.607
232,200,1.918
232,200,1.933
232,200,2.496
233,200,1.645
233,200,1.57
233,200,1.678
233,200,2.076
233,200,1.835
235,200,2.979
235,200,1.606
235,200,1.755
235,200,1.653
235,200,1.598
236,200,2.495
236,200,1.746
237,200,1.724
237,200,1.505
237,200,1.638
237,200,1.822
237,200,1.697
238,200,1.697
238,200,1.616
238,200,1.597
238,200,1.769
239,200,1.556
239,200,2.553
239,200,1.633
239,200,2.233
241,200,2.739
241,200,2.445
241,200,37.543
241,200,1.69
241,200,1.592
241,200,1.574
241,200,1.595
241,200,1.571
241,200,1.601
241,200,1.535
241,200,1.486
241,200,1.53
241,200,2.009
241,200,2.419
241,200,35.495
241,200,1.593
241,200,1.558
241,200,1.587
241,200,1.539
241,200,1.578
241,200,1.581
241,200,1.561
241,200,1.525
241,200,1.54
241,200,1.527
241,200,1.705
241,200,1.738
241,200,1.727
241,200,2.066
241,200,1.702
241,200,1.548
241,200,1.565
241,200,1.562
242,200,1.559
242,200,1.651
242,200,1.652
242,200,1.743
242,200,1.67
242,200,1.662
242,200,1.674
242,200,1.703
242,200,1.517
242,200,1.492
242,200,1.506
242,200,1.671
242,200,1.625
242,200,1.735
242,200,1.718
242,200,1.635
242,200,1.617
242,200,1.783
242,200,2.427
242,200,1.646
242,200,1.653
242,200,1.837
242,200,1.764
242,200,1.805
242,200,1.909
242,200,1.861
242,200,1.772
242,200,1.6
242,200,1.538
242,200,1.602
242,200,2.496
242,200,1.721
242,200,2.344
242,200,1.783
242,200,2.03
242,200,1.865
242,200,1.562
242,200,1.55
242,200,1.647
242,200,1.666
242,200,1.604
242,200,1.552
243,200,1.583
243,200,1.542
243,200,1.562
243,200,1.54
243,200,1.52
243,200,1.58
243,200,1.514
243,200,1.486
243,200,1.572
243,200,1.565
243,200,1.79
243,200,1.791
243,200,1.747
243,200,1.582
243,200,1.621
243,200,1.66
243,200,1.678
243,200,1.556
243,200,1.548
243,200,1.554
243,200,1.923
243,200,1.813
243,200,1.631
243,200,1.69
243,200,1.627
243,200,1.527
243,200,1.566
243,200,1.689
244,200,1.578
244,200,1.612
244,200,1.535
244,200,1.528
244,200,1.584
244,200,1.573
244,200,1.553
244,200,1.553
244,200,1.525
244,200,1.542
244,200,1.563
244,200,1.621
244,200,1.604
244,200,1.617
244,200,1.659
244,200,1.684
244,200,1.923
244,200,1.613
244,200,1.568
244,200,1.596
244,200,1.572
244,200,1.616
244,200,1.609
244,200,1.7
244,200,2.029
244,200,1.552
244,200,1.522
244,200,1.619
244,200,1.551
244,200,1.561
244,200,1.758
244,200,1.873
244,200,1.64
244,200,1.677
244,200,1.739
244,200,1.759
244,200,1.577
244,200,1.792
244,200,2.688
244,200,2.51
244,200,1.578
244,200,1.724
245,200,1.816
245,200,1.922
245,200,1.862
245,200,1.698
245,200,1.759
245,200,1.8
245,200,1.922
245,200,2.245
245,200,2.168
245,200,1.769
245,200,1.811
245,200,1.873
245,200,1.755
245,200,1.757
245,200,1.939
245,200,1.72
245,200,1.905
245,200,1.705
245,200,1.784
245,200,1.845
245,200,1.927
245,200,1.85
245,200,2.073
245,200,2.132
245,200,1.754
247,200,1.81
247,200,2.734
247,200,4.235
247,200,2.499
247,200,39.372
247,200,37.564
247,200,38.569
247,200,36.296
247,200,2.302
247,200,2.437
247,200,36.343
247,200,37.262
247,200,35.84
247,200,2.47
247,200,2.744
247,200,3.695
247,200,3.19
247,200,3.753
247,200,4.712
247,200,4.151
247,200,4.683
247,200,5.211
247,200,6.843
247,200,5.551
247,200,5.944
247,200,6.729
247,200,6.963
247,200,10.901
247,200,7.636
247,200,7.701
247,200,8.856
247,200,8.746
247,200,9.878
247,200,9.965
247,200,11.02
247,200,10.647
247,200,11.055
247,200,12.505
247,200,11.516
247,200,12.44
247,200,12.712
247,200,13.617
247,200,13.792
247,200,13.704
247,200,14.678
247,200,14.823
247,200,14.758
247,200,15.793
247,200,15.85
247,200,16.054
247,200,16.99
247,200,16.894
247,200,17.159
247,200,17.917
247,200,17.922
247,200,18.115
247,200,18.963
247,200,19.228
247,200,19.242
247,200,19.951
247,200,20.416
247,200,20.557
247,200,20.839
247,200,21.455
247,200,22.217
247,200,21.749
247,200,21.895
247,200,22.242
247,200,22.004
247,200,21.876
247,200,21.822
247,200,22.666
247,200,21.596
247,200,21.919
247,200,21.667
247,200,21.808
247,200,21.322
247,200,21.404
247,200,20.839
247,200,20.734
247,200,21.309
247,200,20.763
247,200,20.968
247,200,21.799
247,200,20.742
247,200,20.624
247,200,20.152
247,200,20.27
247,200,19.773
247,200,20.234
247,200,20.567
247,200,19.805
247,200,20.501
247,200,19.84
247,200,19.506
247,200,19.506
247,200,19.228
247,200,19.256
247,200,19.253
247,200,20.008
247,200,19.904
247,200,19.189
247,200,18.822
247,200,19.446
247,200,19.318
247,200,18.463
247,200,18.246
247,200,18.178
247,200,18.06
247,200,18.551
247,200,18.213
247,200,19.386
247,200,18.071
247,200,18.001
247,200,17.729
247,200,18.11
247,200,18.069
247,200,17.115
247,200,17.248
247,200,17.41
247,200,17.064
247,200,17.24
247,200,17.053
247,200,16.93
247,200,16.728
247,200,18.794
247,200,17.341
247,200,16.689
247,200,16.324
247,200,16.881
247,200,16.136
247,200,16.111
247,200,15.85
247,200,15.894
247,200,15.569
247,200,16.009
247,200,15.749
247,200,15.918
247,200,15.816
247,200,15.619
247,200,15.774
247,200,15.238
247,200,14.949
247,200,15.799
247,200,15.588
247,200,14.771
247,200,14.731
247,200,14.853
247,200,14.648
247,200,14.554
247,200,14.293
247,200,14.129
247,200,14.863
247,200,14.222
247,200,14.014
247,200,14.07
247,200,14.097
247,200,13.7
247,200,13.442
247,200,13.504
247,200,13.415
247,200,13.167
247,200,13.286
247,200,13.194
247,200,13.097
247,200,12.887
247,200,13.384
247,200,12.494
247,200,12.466
247,200,12.609
247,200,12.551
247,200,12.901
247,200,12.197
247,200,12.058
247,200,11.862
247,200,11.669
247,200,11.689
247,200,11.525
247,200,11.881
247,200,11.633
247,200,11.417
247,200,11.203
247,200,11.089
247,200,11.693
247,200,10.788
247,200,10.587
247,200,10.637
247,200,10.767
247,200,10.629
247,200,10.454
247,200,10.2
247,200,10.14
247,200,10.055
247,200,9.875
247,200,9.917
247,200,10.387
247,200,10.286
247,200,9.634
247,200,9.402
247,200,9.402
247,200,8.962
247,200,9.002
247,200,8.842
247,200,8.797
247,200,8.906
247,200,9.821
247,200,8.739
247,200,9.434
247,200,8.426
247,200,8.26
247,200,8.036
247,200,7.762
247,200,7.779
247,200,7.778
247,200,7.919
247,200,7.853
247,200,7.774
247,200,7.651
247,200,7.433
247,200,7.076
247,200,7.745
247,200,7.564
248,200,6.923
248,200,6.787
248,200,6.853
248,200,6.872
248,200,6.906
248,200,6.783
248,200,6.514
248,200,6.577
248,200,6.843
248,200,7.343
248,200,7.034
248,200,6.46
248,200,6.274
248,200,6.476
248,200,6.259
248,200,6.093
248,200,6.273
248,200,6.047
248,200,6.35
248,200,6.311
248,200,6.059
248,200,6.216
248,200,6.645
248,200,5.979
248,200,5.845
248,200,6.145
248,200,5.879
248,200,5.529
248,200,5.816
248,200,5.635
248,200,5.654
248,200,5.847
248,200,5.599
248,200,5.447
248,200,6.185
248,200,5.775
248,200,5.903
248,200,5.256
248,200,5.181
248,200,5.102
248,200,5.118
248,200,5.191
248,200,5.103
248,200,4.986
248,200,5.277
248,200,5.499
248,200,5.068
248,200,4.941
248,200,5.326
248,200,4.893
248,200,4.648
248,200,4.637
248,200,4.547
248,200,4.34
248,200,4.74
248,200,4.804
248,200,4.575
248,200,4.828
