Profiling load_model_state_dict...
         230787 function calls (207449 primitive calls) in 10.540 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      557    0.000    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/utils/_pytree.py:608(_is_leaf)
        1    0.000    0.000    0.001    0.001 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:741(from_dict)
      432    0.001    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/init.py:68(calculate_gain)
     1988    0.001    0.000    0.001    0.000 {built-in method torch._C._set_grad_enabled}
    781/6    0.001    0.000    0.001    0.000 /usr/lib/python3.8/copy.py:128(deepcopy)
      120    0.000    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/container.py:377(append)
        1    0.000    0.000    0.001    0.001 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:827(__repr__)
        1    0.000    0.000    0.001    0.001 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:929(to_json_string)
     1117    0.001    0.000    0.001    0.000 {built-in method torch._C._log_api_usage_once}
      557    0.001    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/utils/_python_dispatch.py:119(_get_current_dispatch_mode_stack)
     21/6    0.000    0.000    0.001    0.000 /usr/lib/python3.8/copy.py:226(_deepcopy_dict)
        1    0.000    0.000    0.001    0.001 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:830(to_diff_dict)
       50    0.000    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/container.py:276(__init__)
      994    0.001    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/utils/_contextlib.py:149(__new__)
6841/6716    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      557    0.001    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/_utils.py:817(_element_size)
      557    0.000    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/utils/_pytree.py:601(_get_node_type)
      557    0.000    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/_guards.py:582(try_get)
     4336    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     3238    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x908780}
      168    0.000    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:573(add_module)
       48    0.000    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/activations.py:194(__getitem__)
      122    0.001    0.000    0.001    0.000 {method 'fill_' of 'torch._C.TensorBase' objects}
     2982    0.001    0.000    0.001    0.000 {built-in method torch.is_grad_enabled}
     7823    0.001    0.000    0.001    0.000 {method 'items' of 'collections.OrderedDict' objects}
        3    0.000    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:887(to_dict)
     1506    0.001    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:1712(remove_from)
      557    0.001    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:388(default_restore_location)
        3    0.000    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/modeling_utils.py:1301(__init__)
     4277    0.001    0.000    0.001    0.000 {function _ParameterMeta.__instancecheck__ at 0x7f4e8490bf70}
     1118    0.001    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:2016(<dictcomp>)
      864    0.001    0.000    0.001    0.000 {method 'size' of 'torch._C.TensorBase' objects}
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.8/copy.py:258(_reconstruct)
      557    0.000    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/utils/_pytree.py:590(_is_namedtuple_instance)
        1    0.000    0.000    0.001    0.001 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:612(get_config_dict)
     3910    0.001    0.000    0.001    0.000 {method 'values' of 'collections.OrderedDict' objects}
     4463    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1116    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:1292(_maybe_decode_ascii)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:645(_get_config_dict)
      557    0.000    0.000    0.000    0.000 {method 'untyped_storage' of 'torch._C.TensorBase' objects}
      557    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/storage.py:959(_data_ptr)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:455(__init__)
     3386    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/container.py:319(__iadd__)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:1455(_is_torchscript_zip)
        2    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/container.py:391(extend)
        3    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/modeling_utils.py:1424(_autoset_attn_implementation)
     1728    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
      559    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/parameter.py:167(is_lazy)
        3    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/modeling_utils.py:1635(_check_and_enable_sdpa)
        3    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/utils/import_utils.py:310(is_torch_sdpa_available)
        3    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:266(__init__)
        6    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/packaging/version.py:45(parse)
        6    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/packaging/version.py:186(__init__)
      864    0.000    0.000    0.000    0.000 {method 'dim' of 'torch._C.TensorBase' objects}
      557    0.000    0.000    0.000    0.000 {built-in method torch._C._len_torch_dispatch_stack}
        2    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/models/t5/configuration_t5.py:77(__init__)
