Profiling load_model_state_dict...
         219349 function calls (196033 primitive calls) in 87.281 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1114    0.001    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/storage.py:355(__new__)
     1117    0.001    0.000    0.001    0.000 {built-in method torch._C._log_api_usage_once}
        1    0.000    0.000    0.001    0.001 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:677(from_dict)
       50    0.000    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/container.py:276(__init__)
     21/6    0.000    0.000    0.001    0.000 /usr/lib/python3.9/copy.py:226(_deepcopy_dict)
6287/6162    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      122    0.001    0.000    0.001    0.000 {method 'fill_' of 'torch._C._TensorBase' objects}
      557    0.001    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/_utils.py:751(_element_size)
        1    0.000    0.000    0.001    0.001 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:756(__repr__)
        1    0.000    0.000    0.001    0.001 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:820(to_json_string)
      168    0.000    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:585(add_module)
     2982    0.001    0.000    0.001    0.000 {built-in method torch.is_grad_enabled}
       48    0.000    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/transformers/activations.py:207(__getitem__)
     4330    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     1118    0.001    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:1913(<dictcomp>)
        1    0.000    0.000    0.001    0.001 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:759(to_diff_dict)
      557    0.001    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:215(default_restore_location)
     4274    0.001    0.000    0.001    0.000 {function _ParameterMeta.__instancecheck__ at 0x7fd4a531a790}
     7823    0.001    0.000    0.001    0.000 {method 'items' of 'collections.OrderedDict' objects}
     1506    0.001    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:1618(remove_from)
        3    0.000    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:791(to_dict)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.9/copy.py:258(_reconstruct)
     2238    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x94bdc0}
        2    0.000    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/container.py:319(__iadd__)
     1116    0.000    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:1062(_maybe_decode_ascii)
        2    0.000    0.000    0.001    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/container.py:391(extend)
      864    0.001    0.000    0.001    0.000 {method 'size' of 'torch._C._TensorBase' objects}
     4463    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1988    0.000    0.000    0.000    0.000 {built-in method torch._C._set_grad_enabled}
      557    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/storage.py:778(_data_ptr)
     3380    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      559    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/parameter.py:161(is_lazy)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:556(get_config_dict)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:282(__init__)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:587(_get_config_dict)
      557    0.000    0.000    0.000    0.000 {method 'untyped_storage' of 'torch._C._TensorBase' objects}
     1728    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
      559    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/overrides.py:1750(is_tensor_like)
        3    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/modeling_utils.py:1090(__init__)
      994    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/_jit_internal.py:1102(is_scripting)
        3    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:263(__init__)
      864    0.000    0.000    0.000    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/models/t5/configuration_t5.py:82(__init__)
     1118    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/module.py:1911(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/utils/hub.py:219(extract_commit_hash)
     1122    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
  227/220    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:253(__setattr__)
      557    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:157(_cpu_deserialize)
      3/2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/abc.py:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/re.py:198(search)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/re.py:289(_compile)
      557    0.000    0.000    0.000    0.000 {method 'data_ptr' of 'torch._C.StorageBase' objects}
      3/2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/typing.py:719(__instancecheck__)
        3    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:1158(find_class)
      122    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/nn/modules/container.py:311(__len__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_compile.py:783(compile)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/abc.py:117(__instancecheck__)
      433    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:269(_open_file_like)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/json/__init__.py:183(dumps)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/typing.py:848(__subclasscheck__)
      435    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_variadic}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/json/encoder.py:182(encode)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:251(__init__)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:1179(_is_torchscript_zip)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/os.py:771(getenv)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        5    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      122    0.000    0.000    0.000    0.000 /usr/lib/python3.9/json/encoder.py:413(_iterencode)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/models/auto/configuration_auto.py:667(__getitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:944(parse)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:747(_dict_from_json_file)
      2/1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:436(_parse_sub)
      122    0.000    0.000    0.000    0.000 /usr/lib/python3.9/json/encoder.py:333(_iterencode_dict)
      2/1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:494(_parse)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/_collections_abc.py:760(get)
     13/4    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:900(dict_torch_dtype_to_str)
        2    0.000    0.000    0.000    0.000 {function _load.<locals>.UnpicklerWrapper.find_class at 0x7fd49d27e8b0}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/importlib/__init__.py:109(import_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1018(_gcd_import)
      829    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/os.py:674(__getitem__)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:1097(__init__)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:66(_is_zipfile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1002(_find_and_load)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/storage.py:1020(_get_dtype_from_pickle_storage_type)
      740    0.000    0.000    0.000    0.000 /usr/lib/python3.9/copy.py:182(_deepcopy_atomic)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_compile.py:622(_code)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/storage.py:275(_storage_type_to_dtype_map)
        3    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/modeling_utils.py:1185(can_generate)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/utils/hub.py:130(is_remote_url)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/json/__init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/utils/import_utils.py:1068(__getattr__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/_collections_abc.py:262(__subclasshook__)
        3    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:417(num_labels)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/urllib/parse.py:380(urlparse)
       26    0.000    0.000    0.000    0.000 /usr/lib/python3.9/copy.py:242(_keep_alive)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/json/decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/_utils.py:193(_validate_loaded_sparse_tensors)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/storage.py:248(_dtype_to_storage_type_map)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/utils/import_utils.py:1082(_get_module)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_compile.py:560(_compile_info)
       48    0.000    0.000    0.000    0.000 {function ClassInstantier.__getitem__ at 0x7fd49efb6e50}
        3    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/modeling_utils.py:1112(_backward_compatibility_gradient_checkpointing)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/urllib/parse.py:445(urlsplit)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/json/decoder.py:343(raw_decode)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/pathlib.py:1079(__new__)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:254(__exit__)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/utils/hub.py:300(cached_file)
      3/1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_compile.py:87(_compile)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
